canonical_name,cpt_code,code_system,category,cost_tier,aliases
Adverse Event Assessment,,CPT,Safety,LOW,
Biomarker Sample,86235,CPT,Laboratory,MEDIUM,
Blood Collection,36415,CPT,Laboratory,LOW,
Blood Draw/Phlebotomy,36415,CPT,Laboratory,LOW,
Body Weight,,CPT,General,LOW,
Clinical chemistry,80053,CPT,Laboratory,LOW,
Coagulation Panel,85610,CPT,Laboratory,LOW,
Concomitant Medications Review,,CPT,General,LOW,
Demographics,,CPT,General,LOW,
ECG,93000,CPT,Cardiology,MEDIUM,
ECGe,93000,CPT,Cardiology,MEDIUM,
ECOG Performance Status,,CPT,Efficacy,LOW,
Eligibility Assessment,,CPT,General,LOW,
Hematology,85025,CPT,Laboratory,LOW,
Immunogenicity Sample,86235,CPT,Immunology,MEDIUM,
Immunogenicity sampling,86235,CPT,Immunology,MEDIUM,
Informed Consent,,CPT,General,LOW,
Liver Function Test,80076,CPT,Laboratory,LOW,
Randomization,,CPT,General,LOW,
Serology Panel,86235,CPT,Laboratory,MEDIUM,
Study Drug Administration,96365,CPT,Treatment,MEDIUM,
Urinalysis,81003,CPT,Laboratory,LOW,
Vaccination,90471,CPT,Treatment,LOW,
e-Diary,,CPT,PRO,LOW,
