canonical_name,cpt_code,code_system,category,cost_tier,used_in_protocols,protocol_ids,raw_names_from_protocols,vocabulary_aliases,has_cpt,needs_attention
<------------------------------------------------------------------------------------------------------------------------------>,,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
AE/SAE assessment,,CPT,Unknown,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
AE/SAE assessmento,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
ASSESSMENTS,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY; LIKELY_NOT_PROCEDURE
Adverse Event Assessment,,CPT,General,LOW,6,p01_brivaracetam; p08; p14; p_14_690eb522; pfizer_bnt162; prot_0001_1_3a3bae33,"Adverse event assessment; Collect AEs and SAEs as appropriate; Collect AEs and SAEs as appropriateb; Collect AEs and SAEs as appropriated; Collection of COVID-19–related clinical and laboratory
information (including local diagnosis)","adverse events, ae, aes, ae assessment, adverse event assessment, adverse event review, safety assessment, Recording of AEs, Recording of unsolicited AEs, Safety Assessments, Collection of COVID-19–related clinical and laboratory
information (including local diagnosis), Collection of COVID-19–related clinical and laboratory information (including local diagnosis), Collect AEs and SAEs as appropriate, Collect AEs and SAEs as appropriateb, Collect AEs and SAEs as appropriated",NO,MISSING_CPT
As clinically indicated,,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"At timepoints consistent with tumor assessments; at 30, 60, and 90 days; and then at initiation of subsequent anticancer therapyb",,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Biomarker Sample,,CPT,Laboratory,MEDIUM,3,p08; p14; p_14_690eb522,Biomarker Assessment; Biomarkers blood sample; Biomarkers blood sampley,"biomarker, biomarker sample, exploratory biomarker, translational biomarker, Biomarkers blood sample, Biomarkers blood sampley, Biomarker Assessment",NO,MISSING_CPT
Blood Draw/Phlebotomy,,CPT,Laboratory,LOW,4,p14; p_14_690eb522; pfizer_bnt162; prot_0001_1_3a3bae33,"Blood sample for immunologic assessment of SARS-CoV-2 infection6; Blood sample for potential biomarker analysis5; Collect blood sample for HLA typingc; Collect blood sample for PBMC isolationc; Collect blood sample for immunogenicity
assessmente","blood draw, blood sample, phlebotomy, venipuncture, blood collection, venous blood draw, Blood sample for immunologic assessment of SARS-CoV-2 infection6, Blood sample for potential biomarker analysis5, Collect blood sample for immunogenicity
assessmente, Collect blood sample for HLA typingc, Collect blood sample for PBMC isolationc",NO,MISSING_CPT
Blood for immunologic analysis,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Blood for immunologic analysis4,,CPT,Unknown,LOW,1,p14,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Blood for immunologic analysis5,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Blood for immunologic analysis⁴,,CPT,Unknown,LOW,1,p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Blood sampling for the DNA analysis,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Blood sampling for the DNA analysis^i,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Blood sampling for the DNA analysisⁱ,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Body Weight,,General,General,LOW,3,p01_brivaracetam; p17_durvalumab; p17_durvalumab_bb172274,Weight; Weight and height; Weight and height^d; Weight and heightd,"body weight, weight, body mass, weight measurement, Weight and height, Weight and height^d, Weight and heightd",NO,MISSING_CPT
C-Reactive Protein,86140,CPT,Laboratory,LOW,1,p08,Laboratory tests including hs-CRP,"crp, c-reactive protein, hs-crp, high-sensitivity crp, Laboratory tests including hs-CRP",YES,
CD4 Count,86359,CPT,Laboratory,LOW,2,pfizer_bnt162; prot_0001_1_3a3bae33,"For participants who are HIV-positive, record latest CD4 count and HIV viral load","cd4, cd4 count, cd4+ t-cell, cd4 cell count, t-cell subset, For participants who are HIV-positive, record latest CD4 count and HIV viral load",YES,
Calprotectin,83993,CPT,Laboratory,LOW,1,p08,Stool sample/fecal calprotectin,"calprotectin, fecal calprotectin, stool calprotectin, Stool sample/fecal calprotectin",YES,
Childbearing potential,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Clinical Study Protocol - 4.0,,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Clinical chemistry,,CPT,Unknown,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Clinical chemistryg,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Columbia Suicide Severity Rating,,CPT,Efficacy,LOW,1,p01_brivaracetam,C-SSRS,"c-ssrs, columbia suicide, cssrs, columbia suicide severity rating scale, suicidality assessment",NO,MISSING_CPT
Complete Blood Count,85025,CPT,Laboratory,LOW,1,p08,CBC with differential and platelets,"complete blood count, cbc, full blood count, fbc, blood count, cbc with differential, cbc w/diff, CBC with differential and platelets",YES,
Concomitant AED,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
