raw_name,normalized_to,cpt_code,category,count,protocols
Biomarker Assessment,Biomarker Assessment,,Unknown,2,p14; p_14_690eb522
Follow-up safety7,Follow-up safety7,,Unknown,2,p14; p_14_690eb522
"Follow-up safety9,10","Follow-up safety9,10",,Unknown,2,p14; p_14_690eb522
Modified Supplemental Schedule of Events: Open-Label Days 1-57,Modified Supplemental Schedule of Events: Open-Label Days 1-57,,Unknown,2,p14; p_14_690eb522
Modified Supplemental Schedule of Events: Open-Label Days 1-57 (Table 22)3,Modified Supplemental Schedule of Events: Open-Label Days 1-57 (Table 22)3,,Unknown,2,p14; p_14_690eb522
Obtain nasal (midturbinate) swab,Obtain nasal (midturbinate) swab,,Unknown,2,pfizer_bnt162; prot_0001_1_3a3bae33
Saliva sample,Saliva sample,,Unknown,2,p14; p_14_690eb522
"Subsequent anticancer therapyc,d","Subsequent anticancer therapyc,d",,Unknown,2,p17_durvalumab; p17_durvalumab_bb172274
Supplemental Schedule of Events: Open-Label Days 1-57,Supplemental Schedule of Events: Open-Label Days 1-57,,Unknown,2,p14; p_14_690eb522
Supplemental Schedule of Events: Open-Label Days 1-57 (Table 21)c,Supplemental Schedule of Events: Open-Label Days 1-57 (Table 21)c,,Unknown,2,p14; p_14_690eb522
Whole blood for gene expression (PaxGene-RNA tubes),Whole blood for gene expression (PaxGene-RNA tubes),,Unknown,2,p17_durvalumab; p17_durvalumab_bb172274
<------------------------------------------------------------------------------------------------------------------------------>,<------------------------------------------------------------------------------------------------------------------------------>,,Unknown,1,p17_durvalumab
As clinically indicated,As clinically indicated,,Unknown,1,p17_durvalumab
Biomarkers blood sampley,Biomarkers blood sampley,,Unknown,1,p08
Clinical Study Protocol - 4.0,Clinical Study Protocol - 4.0,,Unknown,1,p17_durvalumab
Confirm participant originally received BNT162b2 at Dose 1 and Dose 2,Confirm participant originally received BNT162b2 at Dose 1 and Dose 2,,Unknown,1,prot_0001_1_3a3bae33
Consent: genetic sample and analysis (optional),Consent: genetic sample and analysis (optional),,Unknown,1,p17_durvalumab_bb172274
DTSQc,DTSQc,,Unknown,1,p09
DTSQs,DTSQs,,Unknown,1,p09
Day,Day,,Unknown,1,p17_durvalumab_bb172274
Drug dispensation/accountability,Drug dispensation/accountability,,Unknown,1,p08
Drug dispensation/accountabilityaa,Drug dispensation/accountabilityaa,,Unknown,1,p08
Durvalumab,Durvalumab,,Unknown,1,p17_durvalumab
Durvalumab/placebo,Durvalumab/placebo,,Unknown,1,p17_durvalumab_bb172274
"Durvalumab/placebop,q","Durvalumab/placebop,q",,Unknown,1,p17_durvalumab_bb172274
Epilepsy history,Epilepsy history,,Unknown,1,p01_brivaracetam
Extraintestinal manifestations,Extraintestinal manifestations,,Unknown,1,p08
Extraintestinal manifestationso,Extraintestinal manifestationso,,Unknown,1,p08
FFPE tumor sample,FFPE tumor sample,,Unknown,1,p17_durvalumab_bb172274
"FFPE tumor sample (mandatory; a newly acquired sample is preferred if available per site's routine clinical practice; otherwise, archival sample ≤3 months old can be provided)v","FFPE tumor sample (mandatory; a newly acquired sample is preferred if available per site's routine clinical practice; otherwise, archival sample ≤3 months old can be provided)v",,Unknown,1,p17_durvalumab_bb172274
Follow-up safety,Follow-up safety,,Unknown,1,p_14_690eb522
Follow-up safety2,Follow-up safety2,,Unknown,1,p_14_690eb522
Follow-up safety²,Follow-up safety,,Unknown,1,p14
Follow-up safety⁵,Follow-up safety,,Unknown,1,p_14_690eb522
Follow-up safety⁷,Follow-up safety,,Unknown,1,p14
General medical and procedures history,General medical and procedures history,,Unknown,1,p01_brivaracetam
Genetics research sample (optional DNA element for long-term storage/future use),Genetics research sample (optional DNA element for long-term storage/future use),,Unknown,1,p17_durvalumab_bb172274
Genetics research sample (optional DNA element for long-term storage/future use) w,Genetics research sample (optional DNA element for long-term storage/future use) w,,Unknown,1,p17_durvalumab_bb172274
Healthcare resource use (HOSPAD),Healthcare resource use (HOSPAD),,Unknown,1,p17_durvalumab_bb172274
Healthcare resource use (HOSPAD)j,Healthcare resource use (HOSPAD)j,,Unknown,1,p17_durvalumab_bb172274
Healthcare resource use (HOSPAD)u,Healthcare resource use (HOSPAD)u,,Unknown,1,p17_durvalumab_bb172274
Hepatitis B and C and HIV,Hepatitis B and C and HIV,,Unknown,1,p17_durvalumab_bb172274
Laboratory Tests,Laboratory Tests,,Unknown,1,p09
Laboratory tests including hs-CRPu,Laboratory tests including hs-CRPu,,Unknown,1,p08
MMS,MMS,,Unknown,1,p08
MMS^h,MMS^h,,Unknown,1,p08
Medical procedures,Medical procedures,,Unknown,1,p01_brivaracetam
Modified Supplemental Schedule of Events: Open-Label Days 1-57 (Table 22)³,Modified Supplemental Schedule of Events: Open-Label Days 1-57 (Table 22),,Unknown,1,p14
Monitoring,Monitoring,,Unknown,1,p17_durvalumab_bb172274
Month,Month,,Unknown,1,p01_brivaracetam
Nonpharmacogenetic samples for storage,Nonpharmacogenetic samples for storage,,Unknown,1,p09
